	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
79	average	2-split-DIFF	5	lemma-characterbert	0.5108695652173914	27	27	18	20
80	average	0-split-dev-SAME	5	lemma-characterbert	0.6538461538461539	113	40	68	91
81	average	0-split-dev-DIFF	5	lemma-characterbert	0.6287425149700598	43	32	30	62
82	average	1-split-bal	5	lemma-characterbert	0.6222222222222222	26	19	15	30
83	average	2-split-bal	5	lemma-characterbert	0.5412371134020618	62	35	54	43
84	average	0-split-dev	6	lemma-characterbert	0.6534446764091858	153	75	91	160
85	average	1-split-all	6	lemma-characterbert	0.6068376068376068	37	35	11	34
86	average	2-split-all	6	lemma-characterbert	0.5628415300546448	156	113	47	50
87	average	ALL	6	lemma-characterbert	0.6463897131552918	1875	1158	987	2046
88	average	SAME	6	lemma-characterbert	0.6469552088575742	1404	651	752	1167
89	average	DIFF	6	lemma-characterbert	0.6453154875717018	471	507	235	879
90	average	1-split-SAME	6	lemma-characterbert		[]	[]	[]	[]
91	average	1-split-DIFF	6	lemma-characterbert	0.6068376068376068	37	35	11	34
92	average	2-split-SAME	6	lemma-characterbert	0.5875912408759124	138	77	36	23
93	average	2-split-DIFF	6	lemma-characterbert	0.4891304347826087	18	36	11	27
94	average	0-split-dev-SAME	6	lemma-characterbert	0.6442307692307693	111	42	69	90
95	average	0-split-dev-DIFF	6	lemma-characterbert	0.6706586826347305	42	33	22	70
96	average	1-split-bal	6	lemma-characterbert	0.6222222222222222	22	23	11	34
97	average	2-split-bal	6	lemma-characterbert	0.5257731958762887	52	45	47	50
98	average	0-split-dev	7	lemma-characterbert	0.6492693110647182	142	86	82	169
99	average	1-split-all	7	lemma-characterbert	0.5555555555555556	28	44	8	37
100	average	2-split-all	7	lemma-characterbert	0.5628415300546448	147	122	38	59
101	average	ALL	7	lemma-characterbert	0.6374876360039565	1764	1269	930	2103
102	average	SAME	7	lemma-characterbert	0.6494715651736286	1410	645	748	1171
103	average	DIFF	7	lemma-characterbert	0.6147227533460803	354	624	182	932
104	average	1-split-SAME	7	lemma-characterbert		[]	[]	[]	[]
105	average	1-split-DIFF	7	lemma-characterbert	0.5555555555555556	28	44	8	37
106	average	2-split-SAME	7	lemma-characterbert	0.5912408759124088	134	81	31	28
107	average	2-split-DIFF	7	lemma-characterbert	0.4782608695652174	13	41	7	31
108	average	0-split-dev-SAME	7	lemma-characterbert	0.6666666666666666	113	40	64	95
109	average	0-split-dev-DIFF	7	lemma-characterbert	0.6167664670658682	29	46	18	74
110	average	1-split-bal	7	lemma-characterbert	0.6111111111111112	18	27	8	37
111	average	2-split-bal	7	lemma-characterbert	0.5670103092783505	51	46	38	59
112	average	0-split-dev	8	lemma-characterbert	0.6555323590814196	142	86	79	172
113	average	1-split-all	8	lemma-characterbert	0.5384615384615384	26	46	8	37
114	average	2-split-all	8	lemma-characterbert	0.5710382513661202	144	125	32	65
115	average	ALL	8	lemma-characterbert	0.6414441147378833	1777	1256	919	2114
116	average	SAME	8	lemma-characterbert	0.6575239053850025	1456	599	762	1157
117	average	DIFF	8	lemma-characterbert	0.6108986615678776	321	657	157	957
118	average	1-split-SAME	8	lemma-characterbert		[]	[]	[]	[]
119	average	1-split-DIFF	8	lemma-characterbert	0.5384615384615384	26	46	8	37
120	average	2-split-SAME	8	lemma-characterbert	0.6058394160583942	132	83	25	34
121	average	2-split-DIFF	8	lemma-characterbert	0.4673913043478261	12	42	7	31
122	average	0-split-dev-SAME	8	lemma-characterbert	0.6762820512820513	113	40	61	98
123	average	0-split-dev-DIFF	8	lemma-characterbert	0.6167664670658682	29	46	18	74
124	average	1-split-bal	8	lemma-characterbert	0.6	17	28	8	37
125	average	2-split-bal	8	lemma-characterbert	0.5927835051546392	50	47	32	65
126	average	0-split-dev	9	lemma-characterbert	0.651356993736952	143	85	82	169
127	average	1-split-all	9	lemma-characterbert	0.5555555555555556	27	45	7	38
128	average	2-split-all	9	lemma-characterbert	0.5792349726775956	149	120	34	63
129	average	ALL	9	lemma-characterbert	0.6505110451697989	1815	1218	902	2131
130	average	SAME	9	lemma-characterbert	0.6665827881227981	1478	577	748	1171
131	average	DIFF	9	lemma-characterbert	0.619980879541109	337	641	154	960
132	average	1-split-SAME	9	lemma-characterbert		[]	[]	[]	[]
133	average	1-split-DIFF	9	lemma-characterbert	0.5555555555555556	27	45	7	38
134	average	2-split-SAME	9	lemma-characterbert	0.6094890510948905	135	80	27	32
135	average	2-split-DIFF	9	lemma-characterbert	0.4891304347826087	14	40	7	31
