	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
89	average	DIFF	6	characterbert	0.6352772466539197	300	678	85	1029
90	average	1-split-SAME	6	characterbert		[]	[]	[]	[]
91	average	1-split-DIFF	6	characterbert	0.5213675213675214	21	51	5	40
92	average	2-split-SAME	6	characterbert	0.6277372262773723	154	61	41	18
93	average	2-split-DIFF	6	characterbert	0.5543478260869565	16	38	3	35
94	average	0-split-dev-SAME	6	characterbert	0.6410256410256411	121	32	80	79
95	average	0-split-dev-DIFF	6	characterbert	0.6826347305389222	28	47	6	86
96	average	1-split-bal	6	characterbert	0.6	14	31	5	40
97	average	2-split-bal	6	characterbert	0.5618556701030928	56	41	44	53
98	average	0-split-dev	7	characterbert	0.6638830897703549	146	82	79	172
99	average	1-split-all	7	characterbert	0.5128205128205128	18	54	3	42
100	average	2-split-all	7	characterbert	0.5765027322404371	153	116	39	58
101	average	ALL	7	characterbert	0.6355093966369931	1755	1278	933	2100
102	average	SAME	7	characterbert	0.643935581278309	1487	568	847	1072
103	average	DIFF	7	characterbert	0.6195028680688337	268	710	86	1028
104	average	1-split-SAME	7	characterbert		[]	[]	[]	[]
105	average	1-split-DIFF	7	characterbert	0.5128205128205128	18	54	3	42
106	average	2-split-SAME	7	characterbert	0.6058394160583942	142	73	35	24
107	average	2-split-DIFF	7	characterbert	0.4891304347826087	11	43	4	34
108	average	0-split-dev-SAME	7	characterbert	0.657051282051282	119	34	73	86
109	average	0-split-dev-DIFF	7	characterbert	0.6766467065868264	27	48	6	86
110	average	1-split-bal	7	characterbert	0.5777777777777777	10	35	3	42
111	average	2-split-bal	7	characterbert	0.5721649484536082	53	44	39	58
112	average	0-split-dev	8	characterbert	0.6617954070981211	144	84	78	173
113	average	1-split-all	8	characterbert	0.5384615384615384	20	52	2	43
114	average	2-split-all	8	characterbert	0.6092896174863388	155	114	29	68
115	average	ALL	8	characterbert	0.6468842729970327	1799	1234	908	2125
116	average	SAME	8	characterbert	0.6540010065425265	1499	556	819	1100
117	average	DIFF	8	characterbert	0.6333652007648184	300	678	89	1025
118	average	1-split-SAME	8	characterbert		[]	[]	[]	[]
119	average	1-split-DIFF	8	characterbert	0.5384615384615384	20	52	2	43
120	average	2-split-SAME	8	characterbert	0.6204379562043796	138	77	27	32
121	average	2-split-DIFF	8	characterbert	0.5760869565217391	17	37	2	36
122	average	0-split-dev-SAME	8	characterbert	0.6602564102564102	116	37	69	90
123	average	0-split-dev-DIFF	8	characterbert	0.6646706586826348	28	47	9	83
124	average	1-split-bal	8	characterbert	0.6333333333333333	14	31	2	43
125	average	2-split-bal	8	characterbert	0.634020618556701	55	42	29	68
126	average	0-split-dev	9	characterbert	0.6701461377870563	147	81	77	174
127	average	1-split-all	9	characterbert	0.5384615384615384	23	49	5	40
128	average	2-split-all	9	characterbert	0.592896174863388	153	116	33	64
129	average	ALL	9	characterbert	0.6561160567095286	1830	1203	883	2150
130	average	SAME	9	characterbert	0.6670860593860091	1514	541	782	1137
131	average	DIFF	9	characterbert	0.6352772466539197	316	662	101	1013
132	average	1-split-SAME	9	characterbert		[]	[]	[]	[]
133	average	1-split-DIFF	9	characterbert	0.5384615384615384	23	49	5	40
134	average	2-split-SAME	9	characterbert	0.6058394160583942	136	79	29	30
135	average	2-split-DIFF	9	characterbert	0.5543478260869565	17	37	4	34
136	average	0-split-dev-SAME	9	characterbert	0.6634615384615384	117	36	69	90
137	average	0-split-dev-DIFF	9	characterbert	0.6826347305389222	30	45	8	84
138	average	1-split-bal	9	characterbert	0.6333333333333333	17	28	5	40
139	average	2-split-bal	9	characterbert	0.6134020618556701	55	42	33	64
140	average	0-split-dev	10	characterbert	0.6617954070981211	141	87	75	176
141	average	1-split-all	10	characterbert	0.5641025641025641	28	44	7	38
142	average	2-split-all	10	characterbert	0.6284153005464481	165	104	32	65
143	average	ALL	10	characterbert	0.6640290141773821	1869	1164	874	2159
144	average	SAME	10	characterbert	0.6721187720181178	1525	530	773	1146
145	average	DIFF	10	characterbert	0.6486615678776291	344	634	101	1013
146	average	1-split-SAME	10	characterbert		[]	[]	[]	[]
147	average	1-split-DIFF	10	characterbert	0.5641025641025641	28	44	7	38
148	average	2-split-SAME	10	characterbert	0.6459854014598541	144	71	26	33
149	average	2-split-DIFF	10	characterbert	0.5760869565217391	21	33	6	32
150	average	0-split-dev-SAME	10	characterbert	0.6602564102564102	112	41	65	94
151	average	0-split-dev-DIFF	10	characterbert	0.6646706586826348	29	46	10	82
152	average	1-split-bal	10	characterbert	0.6444444444444445	20	25	7	38
153	average	2-split-bal	10	characterbert	0.6391752577319587	59	38	32	65
154	average	0-split-dev	11	characterbert	0.6722338204592901	144	84	73	178
155	average	1-split-all	11	characterbert	0.5726495726495726	27	45	5	40
156	average	2-split-all	11	characterbert	0.6502732240437158	172	97	31	66
157	average	ALL	11	characterbert	0.6693043191559512	1880	1153	853	2180
158	average	SAME	11	characterbert	0.6809260191243081	1547	508	760	1159
159	average	DIFF	11	characterbert	0.6472275334608031	333	645	93	1021
