	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
81	average	ALL	6	bert	0.6795252225519288	2040	993	951	2082
82	average	SAME	6	bert	0.6899849018621037	1630	425	807	1112
83	average	DIFF	6	bert	0.6596558317399618	410	568	144	970
84	average	1-split-DIFF	6	bert	0.5213675213675214	20	52	4	41
85	average	2-split-SAME	6	bert	0.7846715328467153	215	0	59	0
86	average	2-split-DIFF	6	bert	0.5869565217391305	50	4	34	4
87	average	0-split-dev-SAME	6	bert	0.6891025641025641	129	24	73	86
88	average	0-split-dev-DIFF	6	bert	0.6526946107784432	33	42	16	76
89	average	1-split-bal	6	bert	0.6	13	32	4	41
90	average	2-split-bal	6	bert	0.520618556701031	97	0	93	4
91	average	0-split-dev	7	bert	0.6764091858037579	157	71	84	167
92	average	1-split-all	7	bert	0.5641025641025641	26	46	5	40
93	average	2-split-all	7	bert	0.7377049180327869	264	5	91	6
94	average	ALL	7	bert	0.6815034619188922	2035	998	934	2099
95	average	SAME	7	bert	0.6904881731253145	1610	445	785	1134
96	average	DIFF	7	bert	0.6644359464627151	425	553	149	965
97	average	1-split-DIFF	7	bert	0.5641025641025641	26	46	5	40
98	average	2-split-SAME	7	bert	0.7883211678832117	215	0	58	1
99	average	2-split-DIFF	7	bert	0.5869565217391305	49	5	33	5
100	average	0-split-dev-SAME	7	bert	0.6891025641025641	123	30	67	92
101	average	0-split-dev-DIFF	7	bert	0.6526946107784432	34	41	17	75
102	average	1-split-bal	7	bert	0.6333333333333333	17	28	5	40
103	average	2-split-bal	7	bert	0.5257731958762887	96	1	91	6
104	average	0-split-dev	8	bert	0.6805845511482255	160	68	85	166
105	average	1-split-all	8	bert	0.5897435897435898	33	39	9	36
106	average	2-split-all	8	bert	0.7540983606557377	266	3	87	10
107	average	ALL	8	bert	0.689581272667326	2058	975	908	2125
108	average	SAME	8	bert	0.6985405133366884	1607	448	750	1169
109	average	DIFF	8	bert	0.6725621414913958	451	527	158	956
110	average	1-split-DIFF	8	bert	0.5897435897435898	33	39	9	36
111	average	2-split-SAME	8	bert	0.791970802919708	214	1	56	3
112	average	2-split-DIFF	8	bert	0.6413043478260869	52	2	31	7
113	average	0-split-dev-SAME	8	bert	0.6955128205128205	123	30	65	94
114	average	0-split-dev-DIFF	8	bert	0.6526946107784432	37	38	20	72
115	average	1-split-bal	8	bert	0.6333333333333333	21	24	9	36
116	average	2-split-bal	8	bert	0.5463917525773195	96	1	87	10
117	average	0-split-dev	9	bert	0.6951983298538622	169	59	87	164
118	average	1-split-all	9	bert	0.5982905982905983	37	35	12	33
119	average	2-split-all	9	bert	0.7540983606557377	265	4	86	11
120	average	ALL	9	bert	0.6861193537751401	2043	990	914	2119
121	average	SAME	9	bert	0.6930045294413689	1599	456	764	1155
122	average	DIFF	9	bert	0.6730401529636711	444	534	150	964
123	average	1-split-DIFF	9	bert	0.5982905982905983	37	35	12	33
124	average	2-split-SAME	9	bert	0.7883211678832117	214	1	57	2
125	average	2-split-DIFF	9	bert	0.6521739130434783	51	3	29	9
126	average	0-split-dev-SAME	9	bert	0.6955128205128205	125	28	67	92
127	average	0-split-dev-DIFF	9	bert	0.6946107784431138	44	31	20	72
128	average	1-split-bal	9	bert	0.6333333333333333	24	21	12	33
129	average	2-split-bal	9	bert	0.5515463917525774	96	1	86	11
130	average	0-split-dev	10	bert	0.6847599164926931	171	57	94	157
131	average	1-split-all	10	bert	0.6239316239316239	41	31	13	32
132	average	2-split-all	10	bert	0.7486338797814208	256	13	79	18
133	average	ALL	10	bert	0.6909000989119684	2073	960	915	2118
134	average	SAME	10	bert	0.7008052340211374	1612	443	746	1173
135	average	DIFF	10	bert	0.6720841300191205	461	517	169	945
136	average	1-split-DIFF	10	bert	0.6239316239316239	41	31	13	32
137	average	2-split-SAME	10	bert	0.791970802919708	210	5	52	7
138	average	2-split-DIFF	10	bert	0.6195652173913043	46	8	27	11
139	average	0-split-dev-SAME	10	bert	0.6955128205128205	129	24	71	88
140	average	0-split-dev-DIFF	10	bert	0.6646706586826348	42	33	23	69
141	average	1-split-bal	10	bert	0.6444444444444445	26	19	13	32
142	average	2-split-bal	10	bert	0.5670103092783505	92	5	79	18
143	average	0-split-dev	11	bert	0.6555323590814196	159	69	96	155
144	average	1-split-all	11	bert	0.6324786324786325	40	32	11	34
145	average	2-split-all	11	bert	0.7431693989071039	251	18	76	21
146	average	ALL	11	bert	0.6782063963072865	2030	1003	949	2084
147	average	SAME	11	bert	0.684952189229995	1590	465	787	1132
148	average	DIFF	11	bert	0.6653919694072657	440	538	162	952
149	average	1-split-DIFF	11	bert	0.6324786324786325	40	32	11	34
150	average	2-split-SAME	11	bert	0.7883211678832117	208	7	51	8
151	average	2-split-DIFF	11	bert	0.6086956521739131	43	11	25	13
152	average	0-split-dev-SAME	11	bert	0.6698717948717948	122	31	72	87
153	average	0-split-dev-DIFF	11	bert	0.6287425149700598	37	38	24	68
